iter	Passed	Remaining
0	48	48424
1	50	25157
2	52	17390
3	54	13505
4	56	11180
5	58	9630
6	60	8521
7	61	7684
8	63	7035
9	65	6518
10	67	6098
11	69	5741
12	71	5443
13	73	5188
14	75	4966
15	77	4772
16	79	4600
17	81	4448
18	83	4315
19	85	4192
20	87	4080
21	89	3978
22	91	3886
23	93	3804
24	95	3725
25	97	3653
26	99	3587
27	101	3525
28	103	3468
29	105	3413
30	107	3364
31	109	3314
32	111	3268
33	113	3225
34	115	3184
35	117	3146
36	119	3109
37	121	3074
38	123	3042
39	125	3011
40	127	2981
41	129	2954
42	131	2926
43	133	2900
44	135	2875
45	137	2852
46	139	2830
47	141	2808
48	143	2785
49	145	2765
50	147	2745
51	149	2726
52	151	2707
53	153	2689
54	155	2672
55	157	2656
56	159	2639
57	161	2624
58	163	2608
59	165	2593
60	167	2577
61	169	2566
62	171	2551
63	173	2538
64	175	2525
65	177	2512
66	179	2500
67	181	2487
68	183	2476
69	185	2464
70	187	2452
71	189	2441
72	191	2430
73	193	2420
74	195	2410
75	197	2400
76	199	2390
77	201	2380
78	203	2371
79	205	2362
80	207	2353
81	209	2344
82	211	2335
83	213	2326
84	215	2318
85	217	2309
86	219	2300
87	221	2292
88	223	2284
89	225	2276
90	227	2269
91	229	2260
92	231	2253
93	233	2246
94	234	2238
95	236	2231
96	238	2223
97	240	2217
98	242	2210
99	244	2203
100	246	2196
101	248	2190
102	250	2183
103	252	2177
104	254	2171
105	256	2164
106	258	2159
107	260	2152
108	262	2146
109	264	2140
110	266	2134
111	268	2125
112	270	2120
113	272	2114
114	274	2109
115	276	2103
116	278	2098
117	280	2093
118	282	2087
119	284	2083
120	286	2077
121	287	2072
122	289	2067
123	291	2061
124	293	2056
125	295	2051
126	297	2046
127	299	2041
128	301	2037
129	303	2032
130	305	2028
131	307	2023
132	309	2018
133	311	2014
134	313	2009
135	315	2005
136	317	2000
137	319	1996
138	321	1991
139	323	1987
140	325	1982
141	327	1978
142	329	1974
143	331	1970
144	333	1965
145	335	1961
146	337	1957
147	339	1953
148	341	1948
149	343	1944
150	345	1940
151	347	1936
152	349	1932
153	351	1928
154	353	1924
155	355	1920
156	356	1916
157	358	1912
158	360	1909
159	362	1905
160	364	1901
161	366	1897
162	368	1894
163	370	1890
164	372	1886
165	374	1882
166	376	1879
167	378	1875
168	380	1871
169	382	1868
170	384	1864
171	386	1860
172	388	1857
173	390	1853
174	392	1850
175	394	1846
176	396	1843
177	398	1839
178	400	1836
179	402	1832
180	404	1829
181	406	1825
182	408	1822
183	410	1819
184	412	1815
185	414	1812
186	416	1808
187	418	1805
188	419	1801
189	421	1797
190	423	1794
191	425	1791
192	427	1788
193	429	1784
194	431	1781
195	433	1778
196	435	1775
197	437	1772
198	439	1769
199	441	1766
200	443	1763
201	445	1759
202	447	1756
203	449	1753
204	451	1750
205	453	1747
206	455	1744
207	457	1741
208	459	1738
209	461	1735
210	463	1732
211	465	1729
212	467	1726
213	469	1723
214	471	1720
215	473	1717
216	475	1713
217	476	1710
218	478	1707
219	480	1704
220	482	1701
221	484	1699
222	486	1696
223	488	1693
224	490	1690
225	492	1687
